id,name,imageURL,benefits
2,Abobrinha,https://imageswscdn.wslojas.com.br/files/9268/MED_anastacia-1000-sementes-de-abobrinha-italia-hibrida-621532.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
3,Abobrinha Menina,https://us-southeast-1.linodeobjects.com/storage/copagril/media/uploads/produto/abobora_menina_kg_8603be11-447a-4b45-963e-ece4ca276718.png,"Ajuda na formação dos ossos e dos dentes, Ajuda emagrecer, Facilita a digestão"
4,Agrião,https://us-southeast-1.linodeobjects.com/storage/copagril/media/uploads/produto/agriao_un_bd6d9fd7-c86d-4397-9901-656aa920c6eb.thumbnail.png," Fonte de fibra,É rico em vitamina A , C e ácido fólico e no que diz respeito aos minerais destaca-se pelo seu conteúdo de cálcio , ferro , potássio e fósforo ."
5,Alface Americano,https://trimais.vteximg.com.br/arquivos/ids/1023549-310-310/foto_original.jpg?v=637595617193400000,"Do ponto de vista da saúde, a alface é rica em fibras e antioxidantes, ajudando a melhorar a saúde gastrointestinal e também regulando os níveis de açúcar no sangue. Nela, você encontra nutrientes e compostos como a vitamina C, carotenóides e clorofila."
6,Alface Crespa,https://superprix.vteximg.com.br/arquivos/ids/178850-600-600/Alface-Crespa-Verde-Un-396.png?v=636934628540170000,"As suas folhas são ricas em vitamina A, que ajuda a reduzir o risco de câncer de boca e câncer de pulmão. Essa hortaliça traz 20% de proteínas em sua quantidade total, e possui apenas 15 calorias em 100 gramas do produto, sendo indicada para quem faz dieta de redução de massa corpórea e ganho de massa muscular."
7,Alface Roxa,https://cdn.shopify.com/s/files/1/0389/8379/4827/products/alfaceroxa2.png?v=1591890591,"Além de riquíssima em vitaminas e minerais, possui substâncias de efeito anti-inflamatório, como lipoxigenase e carragena. “E, devido à presença de lactucina e niacina, também tem propriedades calmantes”"
8,Almeirão,https://www.minicash.com.br/image/cache/catalog/products_2022/almeirao-un-550x550.png,"É excelente fonte das vitaminas A, E, C, complexo B, fósforo, ferro e cálcio. Essa hortaliça tem, ainda, poder diurético, laxativo e combate a gastroenterite, além de limpar os rins e estimular o apetite."
9,Banana Nanica,https://frutasbrasilsul.com.br/wp-content/uploads/banana-nanica.png,"Possui o cálcio, as vitaminas A, C (ambas geram energia), B1, B2, B6 e B12 – que acalmam o sistema nervoso-, o magnésio, o ferro – que estimula a produção de hemoglobinas, ajudando quem sofre de anemia -, o ácido fólico, os açúcares naturais (sacarose, frutose e glicose) que com a junção das fibras também geram energia"
10,Batata Doce,http://d3ugyf2ht6aenh.cloudfront.net/stores/001/012/113/products/batata-doce1-6b7a8526361dcb78a915607263818520-640-0.png,"A cada 100g de batata doce (cozida com casca) podemos encontrar cerca de 24g de carboidratos, cerca de 2g de proteínas, aproximadamente 100 calorias, zero gordura e quase 4g de fibras "
12,Berinjela,http://d3ugyf2ht6aenh.cloudfront.net/stores/001/012/113/products/berinjela1-6f2dd1b25f92926bc415607265196338-640-0.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
13,Cebolinha,https://trimais.vteximg.com.br/arquivos/ids/1035295-1000-1000/foto_original.jpg?v=637902948054200000,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
14,Cheiro verde,https://s.cornershopapp.com/product-images/2061984.png?versionId=3Tw6tcbgIXqkIAKrKgQC9a.MLGD92Q7G,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
15,Coentro,https://ibassets.com.br/ib.item.image.big/b-46004a737e2f4823ab97cd08d44b4e6a.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
17,Jilo,https://us-southeast-1.linodeobjects.com/storage/comercial-supermais/media/uploads/produto/jilo_kg_c19a5bbf-bfa3-4ed0-bd21-490e337a6009.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
19,Maxixe,https://alimentumorganicos.com.br/wp-content/uploads/2022/08/maxixe.organico-330x340.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
20,Mostarda,https://www.freshorganicos.com.br/wp-content/uploads/2021/11/FRESH_ImagemPadrao_HortiFruti_Verduras_16_600x600.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
21,Milho,https://assets.stickpng.com/images/580b57fcd9996e24bc43c20c.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
24,Poupa de Maracujá,https://polpasefrutas.com.br/arquivos/imagens/produtos/mesa/maracuja.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
26,Rúcula,https://s.cornershopapp.com/product-images/2062028.png?versionId=VTuABsqf8FR2jGybjOTdfrLrNDGwsUju,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
27,Salsinha,https://media.soujusto.com.br/products/751320097569.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
28,Tomate,https://assets.stickpng.com/images/580b57fcd9996e24bc43c238.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
29,Tomate Cereja,https://www.minicash.com.br/image/cache/catalog/img/produtos_2021/tomate-cereja-uni-550x550w.png,"Ajuda emagrecer, Previne a prisão de ventre, Ajuda no controle do diabetes, Facilita a digestão"
